==== START logs for container kube-apiserver of pod kube-system/kube-apiserver-kind-1-control-plane ====
I1110 15:05:41.382285       1 server.go:558] external host was not specified, using 172.18.0.2
W1110 15:05:48.360330       1 genericapiserver.go:557] Skipping API apps/v1beta2 because it has no resources.
W1110 15:05:48.360344       1 genericapiserver.go:557] Skipping API apps/v1beta1 because it has no resources.
W1110 15:05:48.362684       1 genericapiserver.go:557] Skipping API admissionregistration.k8s.io/v1beta1 because it has no resources.
I1110 15:05:48.367388       1 plugins.go:158] Loaded 12 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,NodeRestriction,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,MutatingAdmissionWebhook.
I1110 15:05:48.367402       1 plugins.go:161] Loaded 11 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,CertificateSubjectRestriction,ValidatingAdmissionWebhook,ResourceQuota.
W1110 15:05:48.401584       1 genericapiserver.go:557] Skipping API apiregistration.k8s.io/v1beta1 because it has no resources.
I1110 15:05:49.863418       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1110 15:05:49.863532       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I1110 15:05:49.863552       1 dynamic_serving_content.go:132] "Starting controller" name="serving-cert::/etc/kubernetes/pki/apiserver.crt::/etc/kubernetes/pki/apiserver.key"
I1110 15:05:49.863615       1 secure_serving.go:210] Serving securely on [::]:6443
I1110 15:05:49.863721       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I1110 15:05:49.863851       1 available_controller.go:491] Starting AvailableConditionController
I1110 15:05:49.863862       1 cache.go:32] Waiting for caches to sync for AvailableConditionController controller
I1110 15:05:49.863883       1 controller.go:83] Starting OpenAPI AggregationController
I1110 15:05:49.863928       1 apf_controller.go:317] Starting API Priority and Fairness config controller
I1110 15:05:49.864189       1 controller.go:80] Starting OpenAPI V3 AggregationController
I1110 15:05:49.864236       1 autoregister_controller.go:141] Starting autoregister controller
I1110 15:05:49.864275       1 cache.go:32] Waiting for caches to sync for autoregister controller
I1110 15:05:49.865214       1 dynamic_serving_content.go:132] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
I1110 15:05:49.865430       1 apiservice_controller.go:97] Starting APIServiceRegistrationController
I1110 15:05:49.865470       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
I1110 15:05:49.865542       1 customresource_discovery_controller.go:209] Starting DiscoveryController
I1110 15:05:49.865655       1 controller.go:85] Starting OpenAPI controller
I1110 15:05:49.865747       1 controller.go:85] Starting OpenAPI V3 controller
I1110 15:05:49.865830       1 naming_controller.go:291] Starting NamingConditionController
I1110 15:05:49.865884       1 establishing_controller.go:76] Starting EstablishingController
I1110 15:05:49.865933       1 nonstructuralschema_controller.go:192] Starting NonStructuralSchemaConditionController
I1110 15:05:49.865982       1 apiapproval_controller.go:186] Starting KubernetesAPIApprovalPolicyConformantConditionController
I1110 15:05:49.866016       1 cluster_authentication_trust_controller.go:440] Starting cluster_authentication_trust_controller controller
I1110 15:05:49.866028       1 crd_finalizer.go:266] Starting CRDFinalizer
I1110 15:05:49.866067       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I1110 15:05:49.866092       1 crdregistration_controller.go:111] Starting crd-autoregister controller
I1110 15:05:49.866109       1 shared_informer.go:255] Waiting for caches to sync for crd-autoregister
I1110 15:05:49.866097       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1110 15:05:49.866130       1 shared_informer.go:255] Waiting for caches to sync for cluster_authentication_trust_controller
I1110 15:05:49.886409       1 controller.go:611] quota admission added evaluator for: namespaces
I1110 15:05:49.912730       1 shared_informer.go:262] Caches are synced for node_authorizer
I1110 15:05:49.964477       1 apf_controller.go:322] Running API Priority and Fairness config worker
I1110 15:05:49.964541       1 cache.go:39] Caches are synced for AvailableConditionController controller
I1110 15:05:49.964656       1 cache.go:39] Caches are synced for autoregister controller
I1110 15:05:49.965580       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
I1110 15:05:49.966185       1 shared_informer.go:262] Caches are synced for crd-autoregister
I1110 15:05:49.966217       1 shared_informer.go:262] Caches are synced for cluster_authentication_trust_controller
I1110 15:05:50.557985       1 controller.go:132] OpenAPI AggregationController: action for item : Nothing (removed from the queue).
I1110 15:05:50.558031       1 controller.go:132] OpenAPI AggregationController: action for item k8s_internal_local_delegation_chain_0000000000: Nothing (removed from the queue).
E1110 15:05:50.863914       1 controller.go:113] loading OpenAPI spec for "" failed with: APIService  does not exist for update
I1110 15:05:50.863951       1 controller.go:126] OpenAPI AggregationController: action for item : Rate Limited Requeue.
I1110 15:05:50.870662       1 storage_scheduling.go:95] created PriorityClass system-node-critical with value 2000001000
I1110 15:05:50.875721       1 storage_scheduling.go:95] created PriorityClass system-cluster-critical with value 2000000000
I1110 15:05:50.875760       1 storage_scheduling.go:111] all system priority classes are created successfully or already exist.
I1110 15:05:51.476732       1 controller.go:611] quota admission added evaluator for: roles.rbac.authorization.k8s.io
I1110 15:05:51.531941       1 controller.go:611] quota admission added evaluator for: rolebindings.rbac.authorization.k8s.io
I1110 15:05:51.605600       1 alloc.go:327] "allocated clusterIPs" service="default/kubernetes" clusterIPs=map[IPv4:10.96.0.1]
W1110 15:05:51.614362       1 lease.go:234] Resetting endpoints for master service "kubernetes" to [172.18.0.2]
I1110 15:05:51.616171       1 controller.go:611] quota admission added evaluator for: endpoints
I1110 15:05:51.622807       1 controller.go:611] quota admission added evaluator for: endpointslices.discovery.k8s.io
I1110 15:05:53.041131       1 controller.go:611] quota admission added evaluator for: serviceaccounts
I1110 15:05:53.052953       1 controller.go:611] quota admission added evaluator for: deployments.apps
I1110 15:05:53.064436       1 alloc.go:327] "allocated clusterIPs" service="kube-system/kube-dns" clusterIPs=map[IPv4:10.96.0.10]
I1110 15:05:53.085225       1 controller.go:611] quota admission added evaluator for: daemonsets.apps
I1110 15:05:53.184065       1 controller.go:611] quota admission added evaluator for: leases.coordination.k8s.io
I1110 15:06:07.855911       1 controller.go:611] quota admission added evaluator for: controllerrevisions.apps
I1110 15:06:08.207082       1 controller.go:611] quota admission added evaluator for: replicasets.apps
I1110 15:06:10.174211       1 controller.go:611] quota admission added evaluator for: events.events.k8s.io
E1110 15:06:50.864087       1 controller.go:113] loading OpenAPI spec for "" failed with: APIService  does not exist for update
I1110 15:06:50.864135       1 controller.go:126] OpenAPI AggregationController: action for item : Rate Limited Requeue.
E1110 15:08:50.864529       1 controller.go:113] loading OpenAPI spec for "" failed with: APIService  does not exist for update
I1110 15:08:50.864626       1 controller.go:126] OpenAPI AggregationController: action for item : Rate Limited Requeue.
E1110 15:12:50.865347       1 controller.go:113] loading OpenAPI spec for "" failed with: APIService  does not exist for update
I1110 15:12:50.865406       1 controller.go:126] OpenAPI AggregationController: action for item : Rate Limited Requeue.
I1110 15:17:01.059527       1 alloc.go:327] "allocated clusterIPs" service="kube-system/exposed-kube-dns" clusterIPs=map[IPv4:10.96.196.188]
I1110 15:17:38.693064       1 alloc.go:327] "allocated clusterIPs" service="spire/k8s-workload-registrar" clusterIPs=map[IPv4:10.96.229.146]
I1110 15:17:39.141075       1 alloc.go:327] "allocated clusterIPs" service="spire/spire-server" clusterIPs=map[IPv4:10.96.21.163]
I1110 15:17:39.582192       1 controller.go:611] quota admission added evaluator for: statefulsets.apps
I1110 15:17:47.373743       1 trace.go:205] Trace[2112995018]: "Call validating webhook" configuration:k8s-workload-registrar,webhook:k8s-workload-registrar.spire.svc,resource:spiffeid.spiffe.io/v1beta1, Resource=spiffeids,subresource:,operation:CREATE,UID:8ddb842d-9268-4dbc-970e-ebf41d497f0e (10-Nov-2022 15:17:46.344) (total time: 1028ms):
Trace[2112995018]: ---"Request completed" 1028ms (15:17:47.373)
Trace[2112995018]: [1.028742935s] [1.028742935s] END
I1110 15:17:47.373852       1 controller.go:611] quota admission added evaluator for: spiffeids.spiffeid.spiffe.io
I1110 15:17:47.380244       1 trace.go:205] Trace[1364170380]: "Create" url:/apis/spiffeid.spiffe.io/v1beta1/namespaces/spire/spiffeids,user-agent:k8s-workload-registrar/v0.0.0 (linux/amd64) kubernetes/$Format,audit-id:7a7dd593-92fb-4f88-a3ea-7122b8bd883c,client:172.18.0.3,accept:application/json, */*,protocol:HTTP/2.0 (10-Nov-2022 15:17:46.342) (total time: 1037ms):
Trace[1364170380]: ---"Object stored in database" 1036ms (15:17:47.379)
Trace[1364170380]: [1.037338279s] [1.037338279s] END
E1110 15:20:50.866443       1 controller.go:113] loading OpenAPI spec for "" failed with: APIService  does not exist for update
I1110 15:20:50.866496       1 controller.go:126] OpenAPI AggregationController: action for item : Rate Limited Requeue.
W1110 15:26:21.554159       1 watcher.go:229] watch chan error: etcdserver: mvcc: required revision has been compacted
W1110 15:27:23.128694       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:27:23.128730       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:27:23.128739       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:27:23.128747       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:27:23.128755       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:27:23.128762       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:27:23.128770       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:27:23.128778       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:27:23.128786       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:27:23.128793       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:27:23.128801       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:27:23.128808       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
I1110 15:27:28.037082       1 alloc.go:327] "allocated clusterIPs" service="nsm-system/admission-webhook-svc" clusterIPs=map[IPv4:10.96.135.72]
I1110 15:27:28.525360       1 alloc.go:327] "allocated clusterIPs" service="nsm-system/nsmgr-proxy" clusterIPs=map[IPv4:10.96.203.243]
I1110 15:27:29.007844       1 alloc.go:327] "allocated clusterIPs" service="nsm-system/registry" clusterIPs=map[IPv4:10.96.49.22]
I1110 15:27:29.485713       1 alloc.go:327] "allocated clusterIPs" service="nsm-system/registry-proxy" clusterIPs=map[IPv4:10.96.77.227]
I1110 15:27:49.453770       1 controller.go:611] quota admission added evaluator for: networkserviceendpoints.networkservicemesh.io
I1110 15:30:13.031766       1 alloc.go:327] "allocated clusterIPs" service="ns-dns-vl3/vl3-ipam" clusterIPs=map[IPv4:10.96.124.38]
I1110 15:30:20.353537       1 controller.go:611] quota admission added evaluator for: networkservices.networkservicemesh.io
W1110 15:32:17.325010       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.325029       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.325033       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.325036       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.325039       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.325042       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.325046       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.325049       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.325052       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.325055       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.325058       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.325061       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.491255       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.491275       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.491280       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.491284       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.491288       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.491292       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.491297       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.491300       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.491304       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.491308       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.491312       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.491316       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.491322       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.491326       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.491330       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.491333       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.491337       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.491341       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.491345       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.491349       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.491352       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.491356       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.491361       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.491364       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.493408       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.493425       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.493429       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.493433       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.493438       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.493442       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.493445       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.493449       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.493453       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.493457       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.493461       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.493464       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.794463       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.794498       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.794508       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.794517       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.794526       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.794535       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.794543       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.794552       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.794561       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.794569       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.794577       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.794586       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.948174       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Time
W1110 15:32:17.948200       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.OwnerReference
W1110 15:32:17.948207       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Patch
W1110 15:32:17.948214       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.FieldsV1
W1110 15:32:17.948220       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ListMeta
W1110 15:32:17.948226       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.DeleteOptions
W1110 15:32:17.948232       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ObjectMeta
W1110 15:32:17.948238       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
W1110 15:32:17.948244       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Status
W1110 15:32:17.948250       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusCause
W1110 15:32:17.948256       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.Preconditions
W1110 15:32:17.948262       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.StatusDetails
W1110 15:32:17.948270       1 merge.go:121] Should not happen: OpenAPI V3 merge schema conflict on io.k8s.apimachinery.pkg.apis.meta.v1.ManagedFieldsEntry
